,Hotel_Name,Date,Title,Review,Rating
190,ibis budget Singapore Pearl, April 2015,Clean budget hotel,"Stayed at the Pearl for two nights after a recent cruise. Chose it after reading reviews and based on its price with our limited budget. Let me say that you definitely get what you pay for - this is a budget hotel. It has very little in the way of facilities. Having said that, it was clean and the staff were friendly and helpful. However, they could have offered more useful information without being asked (like advising that you had to switch on an unlabeled power circuit to obtain any hot water). So if you need to know anything, ask reception. The surrounding area is very dirty and busy with local vendors everywhere in the streets. Although they were not in your face trying to sell their wares. A local bus could get you to Bugis Junction and the MRT in 15mins. We found that a",3
616,ibis budget Singapore West Coast, October 2019,nice hotel and helpful staff,"Hezri and Jessica is very helpful staff and all the house keeping staff are really friendly and helpful.the water is very strong AC is cold and quite.corridors are always clean,staff is really helpful",5
723,ibis Budget Singapore Ametrine, April 2016,"Convenient location, free parking!!!","You can park here all day long free of charge! The room is just fine, very basic one. Friendly staffs. There are many restaurants around here, and MRT station is just 10 minutes walk. Perfect for a business stay.",4
1473,ibis budget Singapore Joo Chiat,Oct-14,Friendly Person,"Fragrance Hotel Joo Chiat Traffic inconvenient， Half the rooms have windows, the other room no window, But Front Leader（Andren）was a friendly person and responsible. PS：Room 513 have good view and quiet.",3
4234,ibis budget Singapore Ruby, May 2015,top notch service,"Another great experience at the hotel. We were greeted with a busload of tourist once we reached the lobby for our check in. But surprisingly, instead of being overwelmed by the number of people trying to check in at the same time, one of the front desk staff, Shiela,greeted us with a smile and effortlessly check us in without any hassle or delay. A warm welcome after a tiring day indeed for us. Kudos to her. The room itself is wat we exoected it to be. Despite the size, it was pleasantly comfortable and we felt right at home. Basic necessities was more than adequately met and the bed, will have you drooling in your sleep in no time. A wonderful stay for us. And it all start with shiela.",4
4731,ibis budget Singapore Ruby, January 2013,It's a give and take,"Most decent hotels in Singapore are really expensive. This one was the cheapest and cleanest I could find. Upon arriving at the hotel, i noticed it immediately. Many hookers right outside the corner of the hotel. Around 30 feet from the entrance.. or a little more. You could literally watch them negotiate deals as you walk by them to get to the main street. It didn't bother me much because i was already aware of this and had my boyfriend with me whenever we were out. Check in was quick and the staff were always nice and polite. The lobby had a very strong perfume smell.. i guess they were going with the name of the hotel. They also had a couple of vending machines downstairs which was nice. As many reviewers had already mentioned, it IS, as big as a matchbox. We didn't have",3
438,ibis Budget Singapore Mount Faber, October 2014,Nice Stay,"Excellent accommodations! quiet & clean room, the only thing missing was room fridge, exceptionally courteous staff specially Jess thank you once again and ideal location near VIVO. Highly recommended hotel. I would stay here again.",4
2518,Ibis Budget Singapore Clarke Quay, August 2015,Friendly staff and close to everywhere,"Went to Singapore on Jan 2015 and stay for 6 days to watch firework. The hotel very close to Clarke Quay and Chinatown MRT plus bus stop,very convenient and strategic. The room is kind of small although we booked for deluxe.The bed is good for asian but not caucasian,there is no fridge so we have to go downstairs to 7/11 everytime to buy cold drinks which is not convenient,no wall soundproofing so you will hear door bangs everytime, make us difficult to sleep.The pool was ok,we swam in the night time to avoid kids n people,unfortunately no towel over there. The only good in this hotel were the staff,they are nice and friendly especially the cleaner.The chinese cleaner which we called mr.miyagi (we didnt know his name) is a good value to the hotel.he chased us to the lobby to",4
1065,ibis budget Singapore Imperial,Apr-14,Good Hotel but...,"We, with my wife and son, stayed in this hotel last march 23-25, 2014. The location of the hotel is good, it is a 2-3 minutes walk to lavender station. We arrived about 10:30 AM, we are told by front desk staffs, that the check-in time is 3pm. I requested for 1pm, she answered that she will try her best. We left our luggage and proceed to Universal Studio. The front desk staffs are courteous. We return to the hotel by 8 pm. The check-in process was smooth. One of the staffs helped us with our luggage. We are dismayed because when we entered our room, it is NOT YET MADE UP AND CLEANED. Maybe the previous guests have just left. This is a shortcoming on their part because our room should have been readied by at least 1 pm. We waited for 20-30 minutes for the room to be cleaned. I",3
3328,Ibis Budget Singapore Crystal, October 2017,Conveniently located for a down to earth view of Singapore,"We booked on-line and the room was available even in the early hours after a long flight. The room was small but we had expected that. Convenience stores, dining opportunities, bars and shopping all within walking distance",4
