Hotel_Name,Date,Title,Review,Rating,Ori_Rating,Cleaned_Review,Dominant_topic,Perc_Contrib,Topic_Keywords,TextBlob_Polarity,Pol_Rating,Topic,Review_Len,Year
ibis budget Singapore Pearl, April 2022,When they say budget they mean budget,"When they say budget they really mean budget. We stayed in a double room which basically consisted of the beds and the bathroom, the room is really small. The room was not clean especially the bathroom which had an empty drinks bottle left over from previous customers which is further evidence that the room wasn’t cleaned properly. We also found a cockroach in the room. The hotel is in an ok location, about 20 minute walk from the train station. The staff did the bare minimum, weren’t very friendly.",2,Negative,say budget really mean budget double basically consist bed bathroom really small clean especially bathroom empty drink bottle leave previous customer evidence clean properly find cockroach ok location minute walk train station staff bare minimum friendly,0,0.5293,"clean, good, small, walk, staff, location, mrt, night, station, place",0.001923076923076929,Neutral,Location,89,2022
ibis budget Singapore Pearl, January 2021,Poor customer service,This hotel does not live up to expectation of service standard accorded to members of Accor membership. Front office functioned like any other budget hotel. Requested for late check out and was declined. This is the first time i stayed in an Accor hotel and denied late check out. So obviously i am dissappointed.,3,Neutral,live expectation service standard accord member accor membership front office function like budget request late check decline first time accor deny late check obviously dissappointed,1,0.3879,"staff, u, service, front, desk, friendly, good, help, thank, time",-0.0775974025974026,Negative,Service,54,2021
ibis budget Singapore Pearl, February 2020,It's okay,"We stayed 4 nights. We got free room promotion from double room to family room, which was so nice, because we are travelling with a 3 year old. Room was small but clean and fine otherwise. Once cleaning lady left our door open for the whole day by mistake. There were lots of ants and that was a small problem but nothing too serious. Location of the hotel is not very good, but there is 2 MRT stations within walking distance 1,5km to either one. I think price is good for Singapore standards. Restaurants and markets within 100m.",3,Neutral,stayed night get free promotion double family nice travel year old small clean fine otherwise clean lady leave door open whole day mistake lots ant small problem nothing serious location good mrt station within walk distance either one think price good standard restaurant market within,0,0.6708,"clean, good, small, walk, staff, location, mrt, night, station, place",0.12005494505494507,Neutral,Location,98,2020
ibis budget Singapore Pearl, February 2020,Average stay,"Located in an area that looks a little more run down than the rest of Singapore, but felt safe and although the hotel is budget style it had all the necessities. The room was clean except for a LOT of hair on the bed which was quite gross. Also to make the hot water work you have to turn on the switch by the light switch. We took a while to figure this out as no one at reception mentioned.",3,Neutral,locate area look little run rest felt safe although budget style necessity clean except lot hair bed quite gross make hot water work turn switch light switch take figure one reception mention,0,0.6372,"clean, good, small, walk, staff, location, mrt, night, station, place",0.2092013888888889,Positive,Location,80,2020
ibis budget Singapore Pearl, January 2020,Good budget Hotel,Ibis pearl is good budget hotel in geylang area room is compact with all amenity Strong wifi a good tv chanel Room is clean a location is near from many local restaurant conviniece store a 24 h supermarket Walking distance to bus station (3 min ) a mrt aljunied station ( 10 min),3,Neutral,pearl good budget geylang area compact amenity strong wifi good tv chanel clean location near many local restaurant conviniece store h supermarket walk distance bus station min mrt aljunied station min,0,0.989,"clean, good, small, walk, staff, location, mrt, night, station, place",0.4,Positive,Location,53,2020
ibis budget Singapore Pearl, January 2020,Average hotel to stay,"Travellers come to this hotel given IBIS name and while basic facilities are in place for 1/2 days stay, however room is too small with small bathroom. There is no food/ dining facility. Key challenge for this hotel is it’s poor location, near RED light area which makes it unsuitable for families.",2,Negative,traveller come give name basic facility place day however small small bathroom din facility key challenge poor location near red light area make unsuitable family,0,0.9864,"clean, good, small, walk, staff, location, mrt, night, station, place",-0.05,Negative,Location,52,2020
ibis budget Singapore Pearl, December 2019,Clean Nice Hotel,"After spending one night in another hotel, I transferred to Ibis. I went here at around 10am and they allowed me to have an early check in without additional charge. The staff in the reception was very very courteous. But they also did not offer to help with my three bags, something I usually experience in other hotels. My room was very very clean and the wifi is is strong. Even though I set the thermostat to 29 degrees centigrade, the air conditioning felt really cool. I had to turn it off in the middle of the night. The place is quieter and I was able to rest in the evening. Hot water was working but the same with Hotel 81, they dont have a bidet. Checking out is also fast in this hotel",4,Positive,spend one night another transfer go around allow early check without additional charge staff reception courteous offer help three bag something usually experience clean wifi strong even though set thermostat degree centigrade air condition felt really cool turn middle night place quieter able rest even hot water work bidet check fast,3,0.6351,"bed, shower, get, small, night, book, one, bathroom, u, toilet",0.22625000000000003,Positive,Room Amenities,134,2019
ibis budget Singapore Pearl, December 2019,3 nights in ibis budget Singapore Pearl,"We have booked a room for two in ibis budget Singapore Pearl. The room was smaller than I expected, but it was enough for sleeping as we spent almost the whole day in the city. Sadly we didn't have warm water in the shower any of the nights we spent there. We were too tired to go down and ask why there was no warm water, so we were quite ECO friendly during our stay :D I don't know if it was temporary or permanent issue.",3,Neutral,book two budget pearl small expect enough sleeping spend almost whole day city sadly warm water shower night spend tired go ask warm water quite eco friendly know temporary permanent issue,3,0.4595,"bed, shower, get, small, night, book, one, bathroom, u, toilet",0.039957264957264954,Neutral,Room Amenities,86,2019
ibis budget Singapore Pearl, December 2019,Wifi sucks,Rooms are neat and tidy. Hotel staff was not friendly (malay guy). Frequently book this hotel from the owner of Fragrance change to Ibis but still no changes with their wifi connection. Wifi is totally sucks keep on asking us to login back and the network didnt work well.,3,Neutral,neat tidy staff friendly malay guy frequently book owner change still change wifi connection wifi totally suck keep ask u login back network work well,0,0.4643,"clean, good, small, walk, staff, location, mrt, night, station, place",0.042499999999999996,Neutral,Location,49,2019
ibis budget Singapore Pearl, December 2019,Horrible,"Toilet was very dirty There was towel in the room Although I paid online before booking, they insisted me a lot to pay again in the reception (It was late midnight). I showed them the booking itinerary and barely convinced them Next they, I gave the feedback to the another staff in the reception he was so rude and didn't accept their mistake The rooms are too noisy. The walls are like a cartoon There was no Gold membership free drink.",1,Negative,toilet dirty towel although pay online booking insist lot pay reception late midnight show book itinerary barely convinced next give feedback another staff reception rude accept mistake noisy wall like cartoon gold membership free drink,3,0.8837,"bed, shower, get, small, night, book, one, bathroom, u, toilet",-0.1376190476190476,Negative,Room Amenities,81,2019
